gpu_pipeline session log
timestamp: Wed Sep  3 22:14:48 2025
input_dir: "data"
output_dir: "outputs/run_streams"
ops: gauss,sobel,histeq
OK   small_019.pgm -> small_019.pgm
OK   small_1689.pgm -> small_1689.pgm
OK   small_478.pgm -> small_478.pgm
OK   small_1819.pgm -> small_1819.pgm
OK   small_1624.pgm -> small_1624.pgm
OK   small_1183.pgm -> small_1183.pgm
OK   small_372.pgm -> small_372.pgm
OK   small_1245.pgm -> small_1245.pgm
OK   small_1990.pgm -> small_1990.pgm
OK   small_713.pgm -> small_713.pgm
OK   small_065.pgm -> small_065.pgm
OK   small_1294.pgm -> small_1294.pgm
OK   small_1941.pgm -> small_1941.pgm
OK   small_1533.pgm -> small_1533.pgm
OK   small_404.pgm -> small_404.pgm
OK   small_876.pgm -> small_876.pgm
OK   small_1152.pgm -> small_1152.pgm
OK   small_1419.pgm -> small_1419.pgm
OK   small_1078.pgm -> small_1078.pgm
OK   small_289.pgm -> small_289.pgm
OK   small_258.pgm -> small_258.pgm
OK   small_639.pgm -> small_639.pgm
OK   small_1656.pgm -> small_1656.pgm
OK   small_300.pgm -> small_300.pgm
OK   small_1590.pgm -> small_1590.pgm
OK   small_1237.pgm -> small_1237.pgm
OK   small_761.pgm -> small_761.pgm
OK   small_017.pgm -> small_017.pgm
OK   small_1933.pgm -> small_1933.pgm
OK   small_1541.pgm -> small_1541.pgm
OK   small_476.pgm -> small_476.pgm
OK   small_804.pgm -> small_804.pgm
OK   small_1120.pgm -> small_1120.pgm
OK   small_1687.pgm -> small_1687.pgm
OK   small_133.pgm -> small_133.pgm
OK   small_694.pgm -> small_694.pgm
OK   small_1465.pgm -> small_1465.pgm
OK   small_1817.pgm -> small_1817.pgm
OK   small_920.pgm -> small_920.pgm
OK   small_552.pgm -> small_552.pgm
OK   small_1004.pgm -> small_1004.pgm
OK   small_1772.pgm -> small_1772.pgm
OK   small_583.pgm -> small_583.pgm
OK   small_224.pgm -> small_224.pgm
OK   small_1313.pgm -> small_1313.pgm
OK   small_645.pgm -> small_645.pgm
OK   small_878.pgm -> small_878.pgm
OK   small_693.pgm -> small_693.pgm
OK   small_134.pgm -> small_134.pgm
OK   small_1810.pgm -> small_1810.pgm
OK   small_1462.pgm -> small_1462.pgm
OK   small_555.pgm -> small_555.pgm
OK   small_927.pgm -> small_927.pgm
OK   small_1003.pgm -> small_1003.pgm
OK   small_1775.pgm -> small_1775.pgm
OK   small_223.pgm -> small_223.pgm
OK   small_584.pgm -> small_584.pgm
OK   small_1314.pgm -> small_1314.pgm
OK   small_642.pgm -> small_642.pgm
OK   small_1999.pgm -> small_1999.pgm
OK   small_1948.pgm -> small_1948.pgm
OK   small_148.pgm -> small_148.pgm
OK   small_529.pgm -> small_529.pgm
OK   small_1709.pgm -> small_1709.pgm
OK   small_199.pgm -> small_199.pgm
OK   small_1368.pgm -> small_1368.pgm
OK   small_1651.pgm -> small_1651.pgm
OK   small_307.pgm -> small_307.pgm
OK   small_1230.pgm -> small_1230.pgm
OK   small_1597.pgm -> small_1597.pgm
OK   small_766.pgm -> small_766.pgm
OK   small_010.pgm -> small_010.pgm
